Player_Name,Role,Runs_Scored,Wickets_Taken,T_Matches_Played,T_Innings_Batted,T_Overs_Bowled,Batting_Style,Bowling_Style
A Badoni,Batter,963.0,0.0,56.0,46.0,0.0,Right hand Bat,Right arm Offbreak
A Kumble,Bowler,0.0,45.0,0.0,0.0,160.5,Right hand Bat,Legbreak Googly
A Mishra,Bowler,0.0,174.0,0.0,0.0,561.5,Right hand Bat,Legbreak
A Nehra,Bowler,0.0,106.0,0.0,0.0,318.0,Right hand Bat,Left arm Medium fast
A Nortje,Bowler,0.0,61.0,0.0,0.0,182.4,Right hand Bat,Right arm Fast
A Symonds,Allrounder,974.0,0.0,39.0,36.0,0.0,Right hand Bat,"Right arm Medium, Right arm Offbreak"
AB Dinda,Bowler,0.0,69.0,0.0,0.0,252.4,Right hand Bat,Right arm Medium fast
AB de Villiers,Wicketkeeper Batter,5162.0,0.0,184.0,170.0,0.0,Right hand Bat,Right arm Medium
AC Gilchrist,Wicketkeeper Batter,2069.0,0.0,80.0,80.0,0.0,Left hand Bat,Right arm Offbreak
AD Mathews,Allrounder,724.0,0.0,49.0,42.0,0.0,Right hand Bat,Right arm Medium
AD Russell,Allrounder,2651.0,123.0,140.0,115.0,301.0,Right hand Bat,Right arm Fast
AJ Finch,Top order Batter,2091.0,0.0,92.0,90.0,0.0,Right hand Bat,Slow Left arm Orthodox
AJ Tye,Bowler,0.0,42.0,0.0,0.0,114.0,Right hand Bat,Right arm Medium fast
AK Markram,Middle order Batter,1440.0,0.0,57.0,55.0,0.0,Right hand Bat,Right arm Offbreak
AM Nayar,Allrounder,672.0,0.0,60.0,50.0,0.0,Left hand Bat,Right arm Medium
AM Rahane,Top order Batter,5032.0,0.0,198.0,183.0,0.0,Right hand Bat,Right arm Medium
AR Patel,Allrounder,1916.0,128.0,162.0,124.0,550.3,Left hand Bat,Slow Left arm Orthodox
AT Rayudu,Middle order Batter,4348.0,0.0,204.0,187.0,0.0,Right hand Bat,Right arm Offbreak
Abdul Samad,Batter,741.0,0.0,63.0,52.0,0.0,Right hand Bat,Legbreak
